"atm_del_14C_20,000BP_to_2100_AD_RCP85_RCP45",,
Cal_BP,D14C_RCP85_per_mil,D14C_RCP45_per_mil
20000,389.6,389.6
19980,386.7,386.7
19960,383.6,383.6
19940,380.9,380.9
19920,379.6,379.6
19900,379.9,379.9
19880,381.4,381.4
19860,383.4,383.4
19840,385.2,385.2
19820,386.7,386.7
19800,388,388
19780,388.9,388.9
19760,388.8,388.8
19740,386,386
19720,378.9,378.9
19700,369.1,369.1
19680,358.3,358.3
19660,348.9,348.9
19640,343.2,343.2
19620,343.1,343.1
19600,348.4,348.4
19580,357.1,357.1
19560,366,366
19540,371.9,371.9
19520,371.6,371.6
19500,366.8,366.8
19480,363.1,363.1
19460,366.5,366.5
19440,377.3,377.3
19420,391.5,391.5
19400,404.5,404.5
19380,411.3,411.3
19360,410.5,410.5
19340,407.1,407.1
19320,405.1,405.1
19300,404.7,404.7
19280,404.9,404.9
19260,405.4,405.4
19240,405.5,405.5
19220,404.9,404.9
19200,402.9,402.9
19180,399.7,399.7
19160,395.1,395.1
19140,390,390
19120,384.7,384.7
19100,380,380
19080,375.5,375.5
19060,371.5,371.5
19040,367.5,367.5
19020,364,364
19000,361.7,361.7
18980,361,361
18960,362.1,362.1
18940,364.7,364.7
18920,368.2,368.2
18900,372.1,372.1
18880,376.1,376.1
18860,380,380
18840,383.8,383.8
18820,387,387
18800,389,389
18780,389.7,389.7
18760,389.1,389.1
18740,388.1,388.1
18720,387.9,387.9
18700,389,389
18680,391.2,391.2
18660,394.6,394.6
18640,398,398
18620,401.7,401.7
18600,406.2,406.2
18580,411.4,411.4
18560,417.1,417.1
18540,423.6,423.6
18520,430.4,430.4
18500,437,437
18480,442.6,442.6
18460,446.7,446.7
18440,449.1,449.1
18420,449.8,449.8
18400,448.2,448.2
18380,444.2,444.2
18360,438.2,438.2
18340,431,431
18320,423.1,423.1
18300,414.7,414.7
18280,406.9,406.9
18260,399.8,399.8
18240,393.9,393.9
18220,389.3,389.3
18200,385.9,385.9
18180,383.4,383.4
18160,381.6,381.6
18140,380,380
18120,378.9,378.9
18100,378.8,378.8
18080,380,380
18060,382.3,382.3
18040,385.7,385.7
18020,389.6,389.6
18000,393.3,393.3
17980,395.8,395.8
17960,397.5,397.5
17940,398.3,398.3
17920,399.3,399.3
17900,400.4,400.4
17880,401.4,401.4
17860,401.8,401.8
17840,401.6,401.6
17820,401,401
17800,399.7,399.7
17780,398,398
17760,395.9,395.9
17740,393.7,393.7
17720,391.7,391.7
17700,390.6,390.6
17680,390.2,390.2
17660,390.6,390.6
17640,391.4,391.4
17620,392.4,392.4
17600,393,393
17580,393.5,393.5
17560,393.4,393.4
17540,393.3,393.3
17520,393.1,393.1
17500,392.8,392.8
17480,392.4,392.4
17460,391.8,391.8
17440,390.8,390.8
17420,389.7,389.7
17400,387.9,387.9
17380,385.6,385.6
17360,382.6,382.6
17340,379.3,379.3
17320,375.4,375.4
17300,371.2,371.2
17280,367.2,367.2
17260,364.3,364.3
17240,363.4,363.4
17220,364.3,364.3
17200,366.3,366.3
17180,368.2,368.2
17160,369.9,369.9
17140,370.8,370.8
17120,370.9,370.9
17100,370.7,370.7
17080,370.1,370.1
17060,369.8,369.8
17040,369.6,369.6
17020,370,370
17000,370.8,370.8
16980,372.1,372.1
16960,373.6,373.6
16940,375.2,375.2
16920,377.2,377.2
16900,379.7,379.7
16880,382.9,382.9
16860,386.6,386.6
16840,390.8,390.8
16820,395.4,395.4
16800,399.7,399.7
16780,403.1,403.1
16760,405.5,405.5
16740,407.2,407.2
16720,408,408
16700,408.6,408.6
16680,409.1,409.1
16660,409.3,409.3
16640,409.3,409.3
16620,409,409
16600,408.6,408.6
16580,407.8,407.8
16560,406.8,406.8
16540,405.7,405.7
16520,404.6,404.6
16500,403.6,403.6
16480,402.5,402.5
16460,401.7,401.7
16440,400.8,400.8
16420,400,400
16400,399.1,399.1
16380,398.1,398.1
16360,396.7,396.7
16340,395,395
16320,392.9,392.9
16300,390.5,390.5
16280,387.7,387.7
16260,384.9,384.9
16240,381.9,381.9
16220,378.9,378.9
16200,376,376
16180,373.4,373.4
16160,370.9,370.9
16140,368.5,368.5
16120,366.2,366.2
16100,363.7,363.7
16080,361.5,361.5
16060,358.7,358.7
16040,355.9,355.9
16020,352.8,352.8
16000,349.2,349.2
15980,345.8,345.8
15960,342.7,342.7
15940,340.8,340.8
15920,339.5,339.5
15900,338.8,338.8
15880,337.7,337.7
15860,336.3,336.3
15840,334.2,334.2
15820,331.7,331.7
15800,328.3,328.3
15780,324.8,324.8
15760,320.9,320.9
15740,317.2,317.2
15720,313.4,313.4
15700,309.9,309.9
15680,307,307
15660,304.7,304.7
15640,302.8,302.8
15620,301.5,301.5
15600,300.6,300.6
15580,299.5,299.5
15560,298.7,298.7
15540,297.6,297.6
15520,296.3,296.3
15500,294.9,294.9
15480,293.2,293.2
15460,291.2,291.2
15440,289.1,289.1
15420,286.6,286.6
15400,283.6,283.6
15380,280.5,280.5
15360,277.1,277.1
15340,273.4,273.4
15320,269.5,269.5
15300,265.7,265.7
15280,263.1,263.1
15260,261.9,261.9
15240,262.2,262.2
15220,263.2,263.2
15200,264.9,264.9
15180,267,267
15160,269.3,269.3
15140,271.6,271.6
15120,273.6,273.6
15100,275.3,275.3
15080,276.6,276.6
15060,277.4,277.4
15040,277.6,277.6
15020,277.2,277.2
15000,277.5,277.5
14990,277,277
14980,276.6,276.6
14970,276.2,276.2
